Folder,File name,Title,Input,Output,Figures/tables generated
Global_analysis,Global_analysis/Harmony.R,Global UMAPs based on Harmony,Integrated Seurat object with cell type assignment; Harmony coordinates,-,"Extended Data Figure 1A,B"
Global_analysis,Global_analysis/misc_signature_differential_expression.R,Calculate differential expression of three important gene signatures across all intermediate cell types,,,"Extended Data Figure 9A, Extended Data Table 4"
Global_analysis,Global_analysis/Sex_differences.R,UMAP and dot plots to analyze sex differences in global object,Integrated Seurat object with cell type assignment,-,"Extended Data Figure 3C,D,E,F"
Initial_processing,Initial_processing/01_Individual_seurat_analysis.R,Seurat analysis for CellBender output with sample name and expected doublet rate provided in arguments,CellBender output (filtered.h5),Individual Seurat objects,-
Initial_processing,Initial_processing/02_Integration.R,Seurat integration for all lung samples,Individual Seurat objects,Integrated Seurat object,-
Initial_processing,Initial_processing/03_Main_cell_type_annotation.R,Annotation of main cell types in lung samples,Integrated Seurat object,Integrated Seurat object with main cell type assignment,-
Initial_processing,Initial_processing/04_Fine_cell_type_annotation_bcells.R,Annotation of fine cell types,Integrated Seurat object,Fine cell type assignment for subset,-
Initial_processing,Initial_processing/04_Fine_cell_type_annotation_endothelial.R,Annotation of fine cell types,Integrated Seurat object,Fine cell type assignment for subset,-
Initial_processing,Initial_processing/04_Fine_cell_type_annotation_epithelial.R,Annotation of fine cell types,Integrated Seurat object,Fine cell type assignment for subset,-
Initial_processing,Initial_processing/04_Fine_cell_type_annotation_fibroblasts.R,Annotation of fine cell types,Integrated Seurat object,Fine cell type assignment for subset,-
Initial_processing,Initial_processing/04_Fine_cell_type_annotation_myeloid.R,Annotation of fine cell types,Integrated Seurat object,Fine cell type assignment for subset,-
Initial_processing,Initial_processing/04_Fine_cell_type_annotation_tcells.R,Annotation of fine cell types,Integrated Seurat object,Fine cell type assignment for subset,-
Initial_processing,Initial_processing/05_Merge_fine_cell_type_annotation.R,Merging annotation of fine cell types,"Integrated Seurat object, fine cell type assignments from subsets",Integrated Seurat object with main and fine cell type assignments,-
Initial_processing,Initial_processing/06_Annotate_cell_type_intermediate.R,Annotation of intermediate cell types,Integrated Seurat object with main and fine cell type assignment,"Integrated Seurat object with main, fine, and intermediate cell type assignments",-
Master_Regulator_Analysis,Master_Regulator_Analysis/Master_Regulator_Analysis_COVID.R Master_Regulator_Analysis/Functions_MasterRegulators.R,Master Regulator Analysis of COVID data,Integrated Seurat object with cell type assignment Gene Expression labels - vip.clust.fibroblasts.overlay.with.gene_exp.csv Pathological vs Non-pathological fibroblasts - vip.clust.fibroblasts.overlay.with.gene_exp.int.csv,Master Regulator Heatmap,"Figure 4K, Extended Data Figure 14a"
misc,misc/ReadCB_h5.R,Function to read h5 files from CellBender output into Seurat,-,-,-
misc,misc/scrublet_code.py,Run Scrublet,-,-,-
Myeloid_analysis,Myeloid_analysis/myeloid_frequency_boxplot.R,"Print out boxplots of cell type frequency within myeloid compartment, for covid and ctr samples",Myeloid Seurat object with cell type assignment,,Extended Data Figure 4F
Myeloid_analysis,Myeloid_analysis/Myeloid_UMAP_DM_AM_annotation.R,UMAP and diffusion map analysis of myeloid cells; Annotation of alveolar cells,Integrated Seurat object with cell type assignment,Myeloid Seurat object with annotated AMs; AM subtype assignment,"Figure 2B,C,D; Extended Data Figure 4B,C,D,E,F"
Myeloid and AT analyses,Myeloid_and_AT_heatmaps.R,"Generate heatmaps of differential gene expression for AT cells, fibroblasts, or myeloid cells, comparing either different groups of cells, or comparing COVID-19 samples vs. Control samples within the same cell type",Integrated Seurat object with cell type assignment,,"Figure 3E, Extended Data Figure 4G, Extended Data Figure 5A-B, Extended Data Tables 5, 7, and 9"
T_cell_analysis,T_cell_analysis/T_cell_UMAP.R,UMAP analysis of T cells; Dot and feature plots,Integrated Seurat object with cell type assignment,-,"Figure 2J,K,L; Extended Data Figure 7A"
T_cell_analysis,T_cell_analysis/Tcell_analysis.py,Harmony batch correction and scoring of T cell signatures,Integrated AnnData object with cell type assignment,"Harmony-correced PCA matrix and UMAP embedding, scores and figures of T cell programs for CD8 and CD4 T cells","Extended Data Figure 1, Extended Data Figure 7D-G"
Vectra_image_analysis,Vectra_image_analysis/classifiers/classes.json,Individual classes for annotation in QuPath,Load as class annotation in QuPath,,"Processing for Figure 2 m-n, Extended data 4a and 7 b,c,h,i "
Vectra_image_analysis,Vectra_image_analysis/classifiers/object_classifiers/*.json,Individual classifiers for QuPath,Load as classifier in QuPath,Classification for all cells,"Extended data 4a and 7 b,c,h,i "
Vectra_image_analysis,Vectra_image_analysis/Load_and_segmentation.groovy,QuPath executable script to load and segment vectra images ,Execute in QuPath as script for all images,All images loaded and segmented,"Processing for Figure 2 m-n, Extended data 4a and 7 b,c,h,i "
Vectra_image_analysis,Vectra_image_analysis/project.qpproj,QuPath project file,Load as project in QuPath,All workflows saved in one project file,"Project to analyze and visualize images for Figure 2 m-n, Extended data 4a and 7 b,c,h,i "
